model,train_rows_used,MAE,RMSE,R2,stage,best_params
Extra Trees Tuned,33397.0,276.0752683305644,483.24968916602694,0.9395853633122443,tuned,"{'max_depth': 12, 'min_samples_leaf': 2, 'n_estimators': 200}"
Voting Regressor,,277.27733622746564,484.1696875150954,0.939355112680125,ensemble,
Stacking Regressor,,286.79265653238366,487.5583197200258,0.9385032528181564,ensemble,
Extra Trees,33397.0,283.26711405183386,487.5880422794499,0.9384957546528578,baseline,
Random Forest Tuned,33397.0,279.7423461484415,489.5222891648008,0.9380068158408896,tuned,"{'max_depth': 12, 'min_samples_leaf': 10, 'n_estimators': 100}"
Random Forest,33397.0,287.8590974807924,497.88499377459715,0.9358706149868371,baseline,
Gradient Boosting Tuned,33397.0,297.33216246780097,499.31118481638975,0.9355026916704722,tuned,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
Gradient Boosting,33397.0,311.33357908126396,510.646416965069,0.9325410496532621,baseline,
KNN,8000.0,400.62584036519576,602.1644887641295,0.9061942884035755,baseline,
Decision Tree,33397.0,397.2414764605524,693.604356951393,0.8755420547983163,baseline,
Ridge,33397.0,776.6999547519988,984.1547947252037,0.7494318729322927,baseline,
Linear Regression,33397.0,776.7028611286246,984.1604586818651,0.7494289888105999,baseline,
Lasso,33397.0,776.8522440651276,984.3055496902213,0.7493551019149396,baseline,
MLP,8000.0,834.2243799588636,1085.53907884226,0.6951473838743545,baseline,
SVR,8000.0,1361.1986888368274,1582.0314135271321,0.3525157525242727,baseline,
Extra Trees Tuned,,261.9113911866609,485.8463321082794,0.9400234194384217,final_test,
